year, global_avg_temp,, 7-yrs global MA,,10-yrs global MA,,,year,delhi_avg_temp,,7 -yrs delhi MA,,10 yrs - delhi MA,
1750,8.72,,,,,,,1750,,,,,,
1751,7.98,,,,,,,1751,,,,,,
1752,5.78,,,,,,,1752,,,,,,
1753,8.39,,,,,,,1753,,,,,,
1754,8.47,,,,,,,1754,,,,,,
1755,8.36,,,,,,,1755,,,,,,
1756,8.85,,8.078571429,,,,,1756,,,,,,
1757,9.02,,8.121428571,,,,,1757,,,,,,
1758,6.74,,7.944285714,,,,,1758,,,,,,
1759,7.99,,8.26,,8.101071429,,,1759,,,,,,
1760,7.19,,8.088571429,,8.098571429,,,1760,,,,,,
1761,8.77,,8.131428571,,8.104047619,,,1761,,,,,,
1762,8.61,,8.167142857,,8.113061224,,,1762,,,,,,
1763,7.5,,7.974285714,,8.095714286,,,1763,,,,,,
1764,8.4,,7.885714286,,8.072380952,,,1764,,,,,,
1765,8.25,,8.101428571,,8.075285714,,,1765,,,,,,
1766,8.41,,8.161428571,,8.083571429,,,1766,,,,,,
1767,8.22,,8.308571429,,8.102285714,,,1767,,,,,,
1768,6.78,,8.024285714,,8.110285714,,,1768,,,,,,
1769,7.69,,7.892857143,,8.073571429,,,1769,,,,,,
1770,7.69,,7.92,,8.056714286,,,1770,,,,,,
1771,7.85,,7.841428571,,8.027714286,,,1771,,,,,,
1772,8.19,,7.832857143,,7.994285714,,,1772,,,,,,
1773,8.22,,7.805714286,,7.977428571,,,1773,,,,,,
1774,8.77,,7.884285714,,7.977285714,,,1774,,,,,,
1775,9.18,,8.227142857,,7.989857143,,,1775,,,,,,
1776,8.3,,8.314285714,,8.005142857,,,1776,,,,,,
1777,8.26,,8.395714286,,8.013857143,,,1777,,,,,,
1778,8.54,,8.494285714,,8.060857143,,,1778,,,,,,
1779,8.98,,8.607142857,,8.132285714,,,1779,,,,,,
1780,9.43,,8.78,,8.218285714,,,1780,,,,,,
1781,8.1,,8.684285714,,8.302571429,,,1781,,,,,,
1782,7.9,,8.501428571,,8.369428571,,,1782,,,,,,
1783,7.68,,8.412857143,,8.430142857,,,1783,,,,,,
1784,7.86,,8.355714286,,8.477285714,,,1784,,,,,,
1785,7.36,,8.187142857,,8.473285714,,,1785,,,,,,
1786,8.26,,8.084285714,,8.450285714,,,1786,,,,,,
1787,8.03,,7.884285714,,8.399142857,,,1787,,,,,,
1788,8.45,,7.934285714,,8.343142857,,,1788,,,,,,
1789,8.33,,7.995714286,,8.282,,,1789,,,,,,
1790,7.98,,8.038571429,,8.207857143,,,1790,,,,,,
1791,8.23,,8.091428571,,8.148571429,,,1791,,,,,,
1792,8.09,,8.195714286,,8.118,,,1792,,,,,,
1793,8.23,,8.191428571,,8.095857143,,,1793,,,,,,
1794,8.53,,8.262857143,,8.086571429,,,1794,,,,,,
1795,8.35,,8.248571429,,8.092714286,,,1795,,,,,,
1796,8.27,,8.24,,8.108285714,,,1796,25.03,,,,,
1797,8.51,,8.315714286,,8.151428571,,,1797,26.71,,,,,
1798,8.67,,8.378571429,,8.195857143,,,1798,24.29,,,,,
1799,8.51,,8.438571429,,8.240142857,,,1799,25.28,,,,,
1800,8.48,,8.474285714,,8.283714286,,,1800,25.21,,,,,
1801,8.59,,8.482857143,,8.322857143,,,1801,24.22,,,,,
1802,8.58,,8.515714286,,8.354857143,,,1802,25.63,,25.19571429,,,
1803,8.5,,8.548571429,,8.390571429,,,1803,25.38,,25.24571429,,,
1804,8.84,,8.595714286,,8.423857143,,,1804,25.68,,25.09857143,,,
1805,8.56,,8.58,,8.457,,,1805,25.3,,25.24285714,,25.273,
1806,8.43,,8.568571429,,8.489857143,,,1806,25.22,,25.23428571,,25.292,
1807,8.28,,8.54,,8.512285714,,,1807,24.97,,25.2,,25.118,
1808,7.63,,8.402857143,,8.514714286,,,1808,25.14,,25.33142857,,25.203,
1809,7.08,,8.188571429,,8.489714286,,,1809,25.14,,25.26142857,,25.189,
1810,6.92,,7.962857143,,8.438571429,,,1810,25.14,,25.22714286,,25.182,
1811,6.86,,7.68,,8.358285714,,,1811,25.14,,25.15,,25.274,
1812,7.05,,7.464285714,,8.253142857,,,1812,25.14,,25.12714286,,25.225,
